Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge,RA/G,ERA,G,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge,W
4,3.85,162,5929,5348,623,1244,226,23,158,594,106,29,450,1553,0.233,0.298,0.372,0.671,122,146,0.979,28.2,4.33,3.96,162,1,8,33,1415,1282,701,622,162,529,1381,1.28,8.78,1.03,122,146,0.979,27.3,67
5,3.8,162,6045,5512,615,1326,265,18,146,593,55,30,395,1469,0.241,0.298,0.375,0.673,94,135,0.984,28.4,4.99,4.74,162,2,8,27,1444.1,1340,808,760,236,615,1378,1.354,8.59,1.47,94,135,0.984,26.5,57
5,3.66,161,6083,5488,589,1303,222,24,128,554,45,31,455,1384,0.237,0.303,0.357,0.659,83,133,0.986,27.5,5.02,4.76,161,1,12,30,1442,1388,809,762,192,605,1249,1.382,7.8,1.2,83,133,0.986,27.6,63
2,4.8,162,6248,5602,778,1497,271,31,194,743,91,30,486,1282,0.267,0.331,0.431,0.761,73,156,0.988,28.3,5.07,4.82,162,1,7,34,1442.2,1450,822,772,193,627,1202,1.44,7.5,1.2,73,156,0.988,28.7,77
3,4.07,161,6134,5547,655,1460,259,42,128,626,71,28,447,1213,0.263,0.322,0.394,0.716,86,137,0.985,28.3,4.24,4.05,161,0,12,55,1435,1358,682,646,152,595,1379,1.361,8.65,0.95,86,137,0.985,28,79
3,3.78,162,5988,5463,613,1420,236,40,120,575,112,45,375,1150,0.26,0.31,0.384,0.694,77,162,0.987,27.9,4.19,4.02,162,0,12,35,1427,1374,678,638,141,508,1152,1.319,7.27,0.89,77,162,0.987,27.3,71
4,3.98,162,6185,5538,645,1399,254,36,122,614,58,21,501,1419,0.253,0.317,0.378,0.694,97,154,0.984,27.4,4.16,3.78,162,3,16,42,1457.2,1481,674,613,114,458,1190,1.33,7.35,0.7,97,154,0.984,26.4,77
5,3.17,162,6021,5449,513,1257,219,31,95,485,78,29,432,1232,0.231,0.293,0.335,0.627,88,144,0.986,27.7,3.99,3.71,162,2,13,36,1460,1376,646,602,121,526,1177,1.303,7.26,0.75,88,144,0.986,26,62
5,3.76,162,6057,5437,609,1327,261,39,137,576,149,41,484,1228,0.244,0.308,0.382,0.69,103,154,0.983,28.3,4.47,4.09,162,5,7,38,1440.2,1448,724,655,133,495,1113,1.349,6.95,0.83,103,154,0.983,28.8,69
5,3.86,162,6232,5508,625,1358,274,30,149,596,95,41,542,1244,0.247,0.318,0.388,0.706,93,126,0.985,27.4,4.33,3.95,162,7,11,40,1459.2,1403,702,640,149,500,1218,1.304,7.51,0.92,93,126,0.985,28,72
