Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge,RA/G,ERA,G,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge,W
4,3.85,162,6172,5558,624,1318,249,17,188,597,49,23,529,1353,0.237,0.306,0.39,0.695,88,149,0.986,28.6,4.65,4.31,162,4,14,43,1465,1467,754,702,174,478,1297,1.328,7.97,1.07,88,149,0.986,28,71
4,3.82,162,6057,5494,619,1285,241,27,149,584,104,35,466,1259,0.234,0.296,0.369,0.665,72,155,0.988,27,4.02,3.76,162,8,11,43,1456.2,1359,651,608,166,449,1166,1.241,7.2,1.03,72,155,0.988,27.9,75
4,3.43,162,5972,5421,556,1263,253,22,109,534,125,40,435,1280,0.233,0.292,0.348,0.64,108,152,0.982,29.3,4.17,3.9,162,12,10,39,1433,1369,675,621,145,436,1088,1.26,6.83,0.91,108,152,0.982,26.8,67
4,3.17,162,5989,5409,513,1274,227,16,101,485,142,39,459,1184,0.236,0.298,0.339,0.637,110,145,0.982,29.6,4.31,3.93,162,11,10,38,1438,1402,698,628,157,452,973,1.289,6.09,0.98,110,145,0.982,27.1,61
3,3.95,162,6113,5543,640,1430,280,19,160,613,89,33,421,1093,0.258,0.314,0.402,0.716,105,150,0.982,29.9,4.27,3.87,162,4,10,49,1452.2,1359,692,625,172,534,1043,1.303,6.46,1.07,105,150,0.982,27.4,85
4,4.14,162,6176,5643,671,1498,285,20,124,631,90,32,417,890,0.265,0.318,0.389,0.707,99,160,0.984,29.7,5.01,4.73,162,4,4,36,1435.1,1544,811,754,161,626,1016,1.512,6.37,1.01,99,160,0.984,28.5,61
2,4.9,162,6209,5684,794,1629,284,22,153,754,81,30,389,861,0.287,0.337,0.425,0.762,90,167,0.985,29.9,5.02,4.73,162,6,12,43,1434.1,1578,813,754,147,546,1020,1.481,6.4,0.92,90,167,0.985,28.1,88
4,4.67,162,6213,5670,756,1540,266,42,172,703,106,37,404,974,0.272,0.325,0.424,0.749,88,150,0.985,28.7,4.89,4.6,162,6,6,47,1446.2,1500,792,739,183,560,1067,1.424,6.64,1.14,88,150,0.985,28,78
4,4.31,162,6095,5507,699,1408,289,34,130,657,102,47,466,986,0.256,0.317,0.391,0.709,86,144,0.986,28.7,4.64,4.49,162,6,7,39,1427.2,1483,751,712,179,496,892,1.386,5.62,1.13,86,144,0.986,31.4,69
4,4.31,162,6362,5722,698,1544,276,20,136,658,110,42,492,1058,0.27,0.331,0.396,0.727,103,140,0.983,31.6,5.08,4.76,162,7,7,28,1459.1,1498,823,772,212,575,1036,1.421,6.39,1.31,103,140,0.983,30.4,63
2,4.91,162,6281,5561,795,1509,290,33,139,759,108,37,586,989,0.271,0.344,0.41,0.754,65,159,0.989,32,3.93,3.76,162,8,15,38,1441,1340,637,602,173,466,1001,1.253,6.25,1.08,65,159,0.989,29.8,93
3,5.02,162,6362,5569,814,1531,285,31,152,771,137,58,629,1003,0.275,0.35,0.419,0.769,88,134,0.985,31.2,4.31,4.07,162,8,12,43,1445.1,1422,699,654,178,441,1063,1.289,6.62,1.11,88,134,0.985,30.2,93
1,5.72,162,6474,5680,927,1637,310,38,169,881,174,42,614,989,0.288,0.36,0.445,0.805,83,137,0.986,31.4,3.87,3.54,162,8,14,56,1465,1293,627,576,160,465,1051,1.2,6.46,0.98,83,137,0.986,30.8,116
5,3.86,162,5943,5405,625,1254,225,24,167,598,106,29,433,1381,0.232,0.294,0.375,0.67,83,146,0.986,26.8,5.03,4.79,162,0,3,31,1424.1,1402,815,758,232,513,1239,1.344,7.83,1.47,83,146,0.986,27.8,60
3,5,162,6204,5540,810,1374,296,24,223,765,131,38,534,1578,0.248,0.319,0.431,0.75,105,143,0.982,28.8,5.42,5.06,162,4,9,33,1438,1515,878,808,241,583,1379,1.459,8.63,1.51,105,143,0.982,28.3,78
5,4.55,162,6163,5453,737,1308,266,24,194,696,74,35,555,1484,0.24,0.318,0.404,0.722,120,168,0.98,27.4,5.23,4.92,162,1,5,42,1431,1516,848,783,222,491,1121,1.403,7.05,1.4,120,168,0.98,30.4,67
3,4.93,162,6122,5430,799,1326,255,21,237,756,113,44,544,1493,0.244,0.32,0.43,0.75,108,173,0.982,28.4,5.04,4.66,162,2,6,29,1434.1,1443,816,742,214,559,1107,1.396,6.95,1.34,108,173,0.982,28.8,78
1,4.72,162,6089,5525,765,1446,257,23,215,746,99,36,436,1220,0.262,0.322,0.433,0.755,97,190,0.984,28.4,4.67,4.37,162,1,6,56,1443,1441,757,700,201,534,1154,1.369,7.2,1.25,97,190,0.984,28.8,95
1,4.64,162,6187,5511,751,1419,279,32,172,707,101,39,503,1233,0.257,0.325,0.413,0.739,119,169,0.981,28.7,4.52,4.24,162,5,9,45,1442.2,1459,733,680,171,508,1095,1.363,6.83,1.07,119,169,0.981,28.1,88
5,3.93,162,6026,5460,637,1400,260,28,111,597,105,59,417,1162,0.256,0.314,0.375,0.689,106,155,0.982,28.4,4.77,4.49,162,6,17,33,1426.1,1510,773,711,160,505,1110,1.413,7,1.01,106,155,0.982,27.9,67
2,4.48,163,6196,5585,730,1465,262,23,176,691,149,46,462,1067,0.262,0.323,0.412,0.735,86,146,0.986,29.6,3.9,3.62,163,4,10,46,1463.1,1370,636,589,157,498,1309,1.277,8.05,0.97,86,146,0.986,27.9,91
2,4.99,162,6216,5590,808,1526,303,32,200,780,91,44,478,1103,0.273,0.334,0.446,0.78,85,136,0.986,29.7,4.36,3.99,162,7,10,43,1442,1378,707,639,175,446,1286,1.265,8.03,1.09,85,136,0.986,28.8,93
1,5.28,162,6261,5659,855,1599,310,32,210,807,143,45,475,930,0.283,0.34,0.46,0.8,114,164,0.981,29.1,4.18,3.79,162,10,19,38,1441.1,1327,677,607,170,461,1179,1.241,7.36,1.06,114,164,0.981,28.8,96
1,4.86,162,6302,5635,787,1556,268,25,162,740,123,48,511,986,0.276,0.338,0.419,0.757,105,133,0.982,28.3,4.24,3.93,162,7,8,46,1455.1,1355,687,636,162,551,1181,1.31,7.3,1,105,133,0.982,27.6,90
2,4.84,162,6127,5526,784,1436,296,27,224,748,149,36,472,1253,0.26,0.32,0.445,0.764,106,168,0.982,27.8,4.57,4.38,162,8,11,45,1434.2,1432,740,698,171,531,1016,1.368,6.37,1.07,106,168,0.982,27.7,87
2,5.56,162,6478,5728,901,1619,376,35,194,867,81,25,595,1207,0.283,0.354,0.462,0.816,132,191,0.978,27.7,5.97,5.37,162,6,8,36,1442,1647,967,860,176,625,963,1.576,6.01,1.1,132,191,0.978,28.1,79
4,5.04,162,6214,5555,816,1460,298,36,179,768,88,25,503,1224,0.263,0.328,0.426,0.754,124,179,0.98,29.4,5.21,4.75,162,0,6,42,1430,1525,844,755,155,668,976,1.534,6.14,0.98,124,179,0.98,27.7,75
3,5.15,162,6273,5659,835,1571,357,23,183,799,53,24,505,1061,0.278,0.338,0.446,0.784,98,174,0.984,28.4,4.84,4.6,162,3,8,42,1431.1,1558,784,731,162,496,972,1.435,6.11,1.02,98,174,0.984,28.3,80
3,5.34,162,6301,5716,865,1528,311,29,260,834,67,15,495,1112,0.267,0.329,0.468,0.798,108,149,0.982,27.9,5.3,4.96,162,2,6,46,1440,1589,858,794,159,522,932,1.466,5.83,0.99,108,149,0.982,30.5,79
3,5.31,162,6256,5615,860,1492,323,34,227,825,69,36,500,1099,0.266,0.329,0.457,0.786,117,152,0.981,27.7,4.9,4.53,162,5,9,52,1439.2,1536,794,724,182,547,979,1.447,6.12,1.14,117,152,0.981,30.6,89
4,5.1,162,6293,5664,826,1506,274,36,239,799,65,25,488,1052,0.266,0.33,0.454,0.784,94,168,0.985,28.4,5.98,5.67,162,4,3,43,1433.1,1625,969,903,208,603,1009,1.554,6.34,1.31,94,168,0.985,28.1,71
4,5.2,162,6332,5618,843,1510,304,27,230,806,62,34,554,1055,0.269,0.338,0.455,0.794,99,152,0.984,29,5.44,5.15,162,4,4,33,1439.2,1528,882,824,194,669,1030,1.526,6.44,1.21,99,152,0.984,29.7,72
4,5.49,162,6388,5685,890,1566,326,23,246,844,97,32,548,1093,0.275,0.344,0.471,0.815,114,167,0.981,29.9,5.98,5.71,162,4,3,37,1438.1,1670,968,913,222,596,951,1.575,5.95,1.39,114,167,0.981,28.5,73
3,4.59,162,6104,5395,743,1284,271,19,199,698,88,20,545,1349,0.238,0.317,0.406,0.723,72,116,0.987,30.1,4.24,4.02,162,3,11,39,1433,1362,687,640,191,439,1332,1.257,8.37,1.2,72,116,0.987,30.1,86
2,5.22,162,6269,5561,845,1384,292,23,257,800,49,21,578,1338,0.249,0.327,0.448,0.776,80,122,0.987,27.8,4.2,3.97,162,1,12,45,1465,1342,680,646,201,477,1299,1.242,7.98,1.23,80,122,0.987,30.8,97
2,5.02,162,6255,5579,813,1407,322,20,227,778,35,21,550,1381,0.252,0.325,0.439,0.764,89,125,0.985,28,4.16,3.81,162,2,14,44,1465.2,1303,674,621,184,474,1237,1.212,7.6,1.13,89,125,0.985,29.2,97
5,4.56,162,6126,5464,739,1344,305,15,234,708,57,22,565,1491,0.246,0.319,0.436,0.755,121,162,0.98,28.7,5.1,4.67,162,1,6,35,1431,1444,826,743,210,502,1202,1.36,7.56,1.32,121,162,0.98,27.9,75
5,4.03,162,6022,5500,653,1352,270,21,169,634,50,23,442,1145,0.246,0.304,0.395,0.699,97,152,0.984,28.7,4.7,4.51,162,2,7,42,1433.1,1459,761,718,185,464,1188,1.342,7.46,1.16,97,152,0.984,27.9,69
5,4.28,162,6171,5600,694,1405,277,46,146,661,78,29,475,1119,0.251,0.312,0.395,0.707,126,154,0.979,27.9,4.5,4.14,162,5,15,28,1444.2,1402,729,664,172,474,1179,1.299,7.34,1.07,126,154,0.979,27.8,68
2,4.5,162,6245,5545,729,1354,253,33,146,686,83,20,586,1104,0.244,0.32,0.381,0.7,111,150,0.982,29.6,3.53,3.22,162,7,13,31,1463.1,1269,572,524,147,406,1244,1.145,7.65,0.9,111,150,0.982,28.2,88
1,4.73,162,6209,5521,767,1403,301,25,186,725,74,28,573,1178,0.254,0.327,0.419,0.745,97,112,0.983,28.3,3.86,3.56,162,6,13,46,1452,1339,625,574,163,428,1183,1.217,7.33,1.01,97,112,0.983,28.3,96
1,4.4,162,6183,5527,713,1315,267,32,195,676,122,32,550,1387,0.238,0.31,0.404,0.714,111,135,0.982,27.7,3.79,3.48,162,1,13,47,1470,1360,614,569,147,462,1136,1.239,6.96,0.9,111,135,0.982,27.9,94
3,3.98,162,6104,5452,645,1330,280,29,114,612,117,43,509,1094,0.244,0.311,0.369,0.68,124,145,0.979,29.1,4.19,3.71,162,6,12,39,1447.2,1380,679,597,136,519,1160,1.312,7.21,0.85,124,145,0.979,27.4,74
2,4.09,162,6117,5448,663,1396,276,30,109,619,156,38,527,1061,0.256,0.324,0.378,0.702,99,147,0.984,27.8,3.86,3.56,162,7,17,38,1431.2,1315,626,566,153,512,1070,1.276,6.73,0.96,99,147,0.984,26,81
4,4.69,162,6247,5584,759,1464,307,21,135,723,133,48,527,1046,0.262,0.328,0.397,0.726,105,155,0.983,29.1,4.7,4.26,162,2,10,38,1447.1,1486,761,685,156,523,1124,1.388,6.99,0.97,105,155,0.983,25.7,75
3,4.01,161,6138,5451,646,1318,270,23,125,610,88,21,574,1226,0.242,0.318,0.369,0.686,98,169,0.984,27.2,4.29,4.01,161,4,7,33,1435,1364,690,640,135,576,1061,1.352,6.65,0.85,98,169,0.984,26.5,75
3,4.57,162,6365,5577,741,1430,295,16,171,711,52,20,664,1119,0.256,0.338,0.407,0.745,90,153,0.985,28.9,4.68,4.28,162,4,9,36,1448,1468,758,689,138,530,1036,1.38,6.44,0.86,90,153,0.985,26.9,76
1,4.76,162,6281,5500,771,1429,266,22,175,735,61,20,650,976,0.26,0.34,0.412,0.752,84,173,0.986,29.7,4.49,4.21,162,5,11,54,1451.2,1525,727,679,162,529,1003,1.415,6.22,1,84,173,0.986,27,93
2,4.77,162,6275,5627,772,1476,310,20,155,739,31,22,537,819,0.262,0.33,0.407,0.737,88,166,0.986,28.6,4.06,3.69,162,9,12,38,1450.1,1315,658,594,154,504,1075,1.254,6.67,0.96,88,166,0.986,26.6,88
